,species,organ,metabolite,concentration_ppm,stError_ppm
261,ovata,all,wogonoside,0,NA
262,parvula,all,wogonoside,38.39621325,NA
263,potosina,all,wogonoside,1.843297298,NA
264,pulchella,all,wogonoside,31.74875443,NA
265,resinosa,all,wogonoside,0,NA
266,sapphirina,all,wogonoside,30.78484746,NA
267,serrata,all,wogonoside,13.83613162,NA
268,siphocampuloides,all,wogonoside,4.790471956,NA
269,splendens,all,wogonoside,0,NA
270,tessellata,all,wogonoside,0.413212796,NA
271,alpina,all,baicalein,0,NA
272,altissima,all,baicalein,0,NA
273,astinae,all,baicalein,0.353801672,NA
274,coerulea,all,baicalein,0,NA
275,costaricana,all,baicalein,0,NA
276,epilobiifolia,all,baicalein,0,NA
277,formosa,all,baicalein,2.146725749,NA
278,fruticosa,all,baicalein,0,NA
279,galericulata,all,baicalein,0,NA
280,holmgreniorum,all,baicalein,0.896229847,NA
281,hookeri,all,baicalein,0,NA
